Name,Play Number,QB Comment,Series,Down,Distance,Field Position,Gain,Personnel,The_Play,Formation,Motion,Play,Run Concept,Pass Concept,R/P,Pass Result,QB#,J#,EFF
"11 NCCR OFF vs. TXRI (11/18/23), Play 006",6,,2,3,9,-26,16,12,YAHTZEE TAZER RT BUNCH JILL STAY H-DANGLE SNAP,TAZER,YAHTZEE,JILL STAY H-DANGLE SNAP,,DANGLE-X SNAP,P,C,11,18,
"11 NCCR OFF vs. TXRI (11/18/23), Play 007",7,,2,1,10,-42,-1,12,FIB DUAL RT OFF X-JET SPIDER STREET CRACK,DUAL,JET-H,SPIDER STREET CRACK,BEETLE-SPIDER,,P,C,11,18,
"11 NCCR OFF vs. TXRI (11/18/23), Play 008",8,,2,2,11,-41,14,12,TRAIN RT BILLY Z-OUT BEETLE X-HITCH,TRAIN,OUT-Z,BEETLE HITCH,BEETLE-SPIDER,HITCH-X,R,,11,26,
"11 NCCR OFF vs. TXRI (11/18/23), Play 009",9,,2,1,10,45,0,12,YAHOO FIB THIEF LT BILLY SPIDER X-HITCH,THIEF,YAHOO,SPIDER X-HITCH,BEETLE-SPIDER,HITCH-X,P,I,11,3,
"11 NCCR OFF vs. TXRI (11/18/23), Play 010",10,,2,2,10,45,2,12,DEUCE LT Z-TOPGUN S. CINCY BUS,DEUCE,TOPGUN-Z,S. CINCY BUS,CINCY,BUS,R,,11,26,
"11 NCCR OFF vs. TXRI (11/18/23), Play 011",11,,2,3,8,43,5,12,YAHOO TRAIN RT BILLY BEETLE X-HITCH,TRAIN,YAHOO,BEETLE X-HITCH,BEETLE-SPIDER,HITCH-X,P,C,11,2,
"11 NCCR OFF vs. TXRI (11/18/23), Play 012",12,,2,4,3,38,0,12,SHORTY TANGO LT BUNCH JILL STAY Y-MESH (CK LOAD Y-STICK SPACING),TANGO,SHORTY,LOAD Y-STICK SPACING,,STICK-Y SPACING,P,I,11,86,
"11 NCCR OFF vs. TXRI (11/18/23), Play 013",13,,3,0,10,-25,13,12,YAHOO TRAIN RT OX SQUEEZE BEETLE X-STICK,TRAIN,YAHOO,BEETLE X-STICK,BEETLE-SPIDER,STICK-X,P,C,4,2,
"11 NCCR OFF vs. TXRI (11/18/23), Play 014",14,,3,1,10,-38,15,12,Y-SHIFT TRAIN LT OX LION OLY,TRAIN,SHIFT-Y,LION OLY,BEAR-LION OMAR,,R,,4,26,
"11 NCCR OFF vs. TXRI (11/18/23), Play 015",15,,3,1,10,47,3,12,YAHOO TRIPS RT OX BEETLE,TRIPS,YAHOO,BEETLE,BEETLE-SPIDER,,R,,4,26,
"11 NCCR OFF vs. TXRI (11/18/23), Play 016",16,,3,2,7,44,1,12,Y-SHIFT TRAIN RT OX BEAR OMAR,TRAIN,SHIFT-Y,BEAR OMAR,BEAR-LION OMAR,,R,,4,4,
"11 NCCR OFF vs. TXRI (11/18/23), Play 017",17,,3,3,6,43,-3,12,TRAIN LT OFF OX FLY Q-TIGER,TRAIN,,Q-TIGER,BENGAL-TIGER Q,,R,,4,4,
"11 NCCR OFF vs. TXRI (11/18/23), Play 018",18,,4,0,10,-36,5,11,FIB DOUBLE LT OFF H-JET SPIDER Z-POP,DOUBLE,JET-H,SPIDER Z-POP,BEETLE-SPIDER,,R,,4,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 019",19,,4,2,5,-41,0,11,TRAIN RT OFF BEETLE HERO X-POP,TRAIN,,BEETLE HERO X-POP,BEETLE-SPIDER,,P,DROP,4,3,
"11 NCCR OFF vs. TXRI (11/18/23), Play 020",20,,4,3,5,-41,2,11,TROLLY RT FLY N. ERASER,TROLLY,,N. ERASER,PENCIL-PAPER,ERASER,P,C,4,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 021",21,,5,0,10,-40,,12,SHORTY FLANK RT SQUEEZE SAME BEETLE X-STICK,FLANK,SHORTY,SAME BEETLE X-STICK,BEETLE-SPIDER,STICK-X,P,C,4,84,
"11 NCCR OFF vs. TXRI (11/18/23), Play 022",22,,5,1,25,-25,4,12,TRAIN LT BILLY SPIDER Z-POP,TRAIN,,SPIDER Z-POP,BEETLE-SPIDER,,R,,4,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 023",23,,5,2,21,-29,8,12,DOS RT QK JACK SPACING X-STICK,DOS,,QK JACK SPACING X-STICK,,SPACING STICK-X,P,C,4,86,
"11 NCCR OFF vs. TXRI (11/18/23), Play 024",24,,5,3,13,-37,-10,12,TROLLY RT JILL H-DRIVE DANCER,TROLLY,,JILL H-DRIVE DANCER,,DRIVE-H DANCER,P,SACK,4,4,
"11 NCCR OFF vs. TXRI (11/18/23), Play 025",25,,6,0,10,-16,0,12,TRIPS LT NASTY Z-OUT ELEPHANT OLY,TRIPS,OUT-Z,ELEPHANT OLY,RHINO-ELEPHANT OMAR,,R,,4,4,
"11 NCCR OFF vs. TXRI (11/18/23), Play 026",26,,6,2,10,-16,,12,DEUCE LT SLOT BENGAL WALL,DEUCE,,BENGAL WALL,BENGAL-TIGER WALL,,R,,4,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 027",27,,6,1,10,-31,0,12,YAHOO TRAIN LT BILLY SPIDER X-HITCH,TRAIN,YAHOO,SPIDER X-HITCH,BEETLE-SPIDER,HITCH-X,P,DROP,11,3,
"11 NCCR OFF vs. TXRI (11/18/23), Play 028",28,,6,2,10,-31,4,12,FLANK LT X-JET JAGUAR BROOM,FLANK,JET-X,JAGUAR BROOM,WOLF-JAGUAR WALL,,R,,11,10,
"11 NCCR OFF vs. TXRI (11/18/23), Play 029",29,,6,3,6,-35,,12,SHORTY FLOUNDER LT 1 LOAD CHOP Z-JUKE,FLOUNDER,SHORTY,LOAD CHOP Z-JUKE,,CHOP JUKE-Z,P,DPI,11,18,
"11 NCCR OFF vs. TXRI (11/18/23), Play 030",30,,6,1,10,-45,1,12,YAHOO TRIPS RT OX SQUEEZE BEETLE X-STICK,TRIPS,YAHOO,BEETLE X-STICK,BEETLE-SPIDER,STICK-X,R,,11,26,
"11 NCCR OFF vs. TXRI (11/18/23), Play 031",31,,6,2,9,-46,0,12,TRAIN RT BILLY QK JILL STAY SPACING X-STICK,TRAIN,,QK JILL STAY SPACING X-STICK,,SPACING STICK-X,P,DROP,11,86,
"11 NCCR OFF vs. TXRI (11/18/23), Play 032",32,,6,3,9,-46,0,11,ZAC DUAL LT DOMINO JILL Z-DRIVE SUN SWITCH,DUAL,AC-Z,JILL Z-DRIVE SUN SWITCH,,DRIVE-Z SUN SWITCH,P,I,11,84,
"11 NCCR OFF vs. TXRI (11/18/23), Play 033",33,,7,0,10,34,0,12,FLANK LT Z-PLANE SPIDER SLICE,FLANK,PLANE-Z,SPIDER SLICE,BEETLE-SPIDER SLICE,,R,,11,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 034",34,,7,2,10,34,4,12,FLANK LT SQUEEZE QK JILL SPACING X-STICK,FLANK,,QK JILL SPACING X-STICK,,SPACING STICK-X,P,C,11,81,
"11 NCCR OFF vs. TXRI (11/18/23), Play 035",35,,7,3,6,30,5,12,YAHOO FLANK LT WHISKEY (CK. ELEPHANT OLY),FLANK,YAHOO,ELEPHANT OLY,RHINO-ELEPHANT OMAR,,R,,11,11,
"11 NCCR OFF vs. TXRI (11/18/23), Play 036",36,,7,4,1,25,,21,FIRE N. LOOPER,TRIX,YAHOO,FIRE N. LOOPER,,LOOPER,,,11,,
"11 NCCR OFF vs. TXRI (11/18/23), Play 037",37,,8,0,10,-25,4,21,THIEF RT BILLY Z-OUT ROACH CUT X-POP,THIEF,OUT-Z,ROACH CUT X-POP,ROACH-LEECH CUT,,R,,11,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 038",38,,8,2,6,-29,3,21,FLANK LT SAME SPIDER PUNK,FLANK,,SPIDER PUNK,BEETLE-SPIDER,,R,,11,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 039",39,,8,3,3,-32,8,21,SHORTY FRISCO LT DOMINO LEECH CUT X-STICK,FRISCO,SHORTY,LEECH CUT X-STICK,ROACH-LEECH CUT,STICK-X,R,,11,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 040",40,,8,1,10,-40,8,11,FIB DUAL RT OFF H-JET BEETLE Z-POP,DUAL,JET-H,BEETLE Z-POP,BEETLE-SPIDER,,R,,11,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 041",41,,8,2,2,-48,6,12,FRISCO LT LEECH CUT HERO,FRISCO,,LEECH CUT HERO,ROACH-LEECH CUT,HERO,R,,11,10,
"11 NCCR OFF vs. TXRI (11/18/23), Play 042",42,,8,1,10,46,4,12,THIEF LT BILLY Z-OUT LEECH CUT X-POP,THIEF,OUT-Z,LEECH CUT X-POP,ROACH-LEECH CUT,,R,,11,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 043",43,,8,2,6,42,0,12,TRUNK LT Z-IN SPIDER X-HITCH,TRUNK,IN-Z,SPIDER X-HITCH,BEETLE-SPIDER,HITCH-X,P,I,11,83,
"11 NCCR OFF vs. TXRI (11/18/23), Play 044",44,,8,3,6,42,15,11,FIB TRAIN RT CLOSE Z-JET ROCK X-RAILROAD,TRAIN,JET-Z,ROCK X-RAILROAD,,RAILROAD-X,P,C,11,26,
"11 NCCR OFF vs. TXRI (11/18/23), Play 045",45,,8,1,10,27,0,12,(U) TRAIN LT BILLY TIGER X-AROUND (CK. SPIDER),TRAIN,,SPIDER,BEETLE-SPIDER,,R,,11,26,
"11 NCCR OFF vs. TXRI (11/18/23), Play 046",46,,8,2,10,27,2,12,THIEF LT BILLY Z-OUT LEECH CUT X-POP,THIEF,OUT-Z,LEECH CUT X-POP,ROACH-LEECH CUT,,R,,11,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 047",47,,8,3,8,25,0,12,YAHOO FLANK RT SQUEEZE ROCK Z-RAILROAD,FLANK,YAHOO,ROCK Z-RAILROAD,,RAILROAD-Z,P,I,11,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 048",48,,8,4,8,25,0,12,FLANK RT SQUEEZE F-JACK CLIPPER DRACO,FLANK,,F-JACK CLIPPER DRACO,,CLIPPER DRACO,P,I,11,86,
"11 NCCR OFF vs. TXRI (11/18/23), Play 049",49,,9,0,10,-29,0,12,DEUCE RT SLOT ROACH HERO,DEUCE,,ROACH HERO,ROACH-LEECH,HERO,R,,11,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 050",50,,9,2,10,-29,0,12,YAHOO TRAIN LT BILLY N. TEXAS MAX Z-SURF,TRAIN,YAHOO,N. TEXAS MAX Z-SURF,,SURF-Z,P,I,11,10,
"11 NCCR OFF vs. TXRI (11/18/23), Play 051",51,,9,3,10,-29,-9,11,DOS RT JACK Z-DRIVE COAT,DOS,,JACK Z-DRIVE COAT,,DRIVE-Z COAT,P,SACK,11,11,
"11 NCCR OFF vs. TXRI (11/18/23), Play 052",52,,10,0,10,15,2,13-F,FLANK LT Z-PLANE SPIDER SLICE X-POP,FLANK,PLANE-Z,SPIDER SLICE X-POP,BEETLE-SPIDER SLICE,,R,,11,26,
"11 NCCR OFF vs. TXRI (11/18/23), Play 053",53,,10,2,8,13,3,13-F,DOT LT SLOT Z-PLANE N. TAXI (CK. Z-PLANE ROACH Z-SLICE),DOS,PLANE-Z,ROACH Z-SLICE,ROACH-LEECH SLICE,,R,,11,26,
"11 NCCR OFF vs. TXRI (11/18/23), Play 054",54,,10,3,5,10,,12,FLANK LT THURSDAY (CK. LEECH CUT PUNK),FLANK,,LEECH CUT PUNK,ROACH-LEECH CUT,,R,,11,10,
"11 NCCR OFF vs. TXRI (11/18/23), Play 055",55,,10,1,3,3,-2,12,FLEX LT OFF SPIDER Y-ARROW CRACK,FLEX,,SPIDER Y-ARROW CRACK,BEETLE-SPIDER,ARROW-Y,R,,11,11,
"11 NCCR OFF vs. TXRI (11/18/23), Play 056",56,,10,2,5,5,,12,HOPPY DOS LT QK JILL SPACING X-STICK,DOS,HOPPY,QK JILL SPACING X-STICK,,SPACING STICK-X,P,I,11,86,
"11 NCCR OFF vs. TXRI (11/18/23), Play 057",57,,10,2,15,15,3,12,TRAIN RT BILLY BEETLE X-HITCH (CK. S. BIKINI),TRAIN,,S. BIKINI,SPEEDO,,R,,11,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 058",58,,10,3,12,12,12,12,FLANK LT JILL H-DRIVE STAR,FLANK,,JILL H-DRIVE STAR,,DRIVE-Z STAR,P,,11,11,
"11 NCCR OFF vs. TXRI (11/18/23), Play 059",59,,11,0,10,-25,8,12,FLANK RT ROACH H-STREET,FLANK,,ROACH H-STREET,ROACH-LEECH,,R,,6,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 060",60,,11,2,2,-33,3,12,DUAL RT OFF JACK CHIP H-PUNCH SNAP,DUAL,,JACK CHIP H-PUNCH SNAP,,PUNCH-H SNAP,P,SR,6,6,
"11 NCCR OFF vs. TXRI (11/18/23), Play 061",61,,11,1,10,-36,,12,DUAL RT OFF JACK CHIP Y-PUNCH DANCER,DUAL,,JACK CHIP Y-PUNCH DANCER,,PUNCH-Y DANCER,P,SR,6,,
"11 NCCR OFF vs. TXRI (11/18/23), Play 062",62,,11,1,15,-31,0,12,DUAL RT OFF ROCK U-TURN LOOKIE,DUAL,,ROCK U-TURN LOOKIE,,U-TURN LOOKIE,P,I,6,2,
"11 NCCR OFF vs. TXRI (11/18/23), Play 063",63,,11,2,15,-31,,12,HAC FLANK RT JACK H-DRIVE STAR,FLANK,AC-H,JACK H-DRIVE STAR,,DRIVE-Z STAR,P,INT,6,2,
